,title,media,date,datetime,desc,link,img
322,The 10 U.S. Cities Where Rent Prices Are Rising Fastest,Money,1 month ago,2022-04-04 21:40:43.830320,"A new study from Realtor.com shows median rent is up 17% in U.S. cities, 
and Miami, Tampa and Orlando are seeing the biggest rent increases.",https://money.com/cities-where-rent-prices-rising-fastest/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
323,"Superstars, rising stars, and the rest: Pandemic trends and shifts in the geography of tech",Brookings,"ar 8, 2022",,"The pandemic years raised the promise of tech decentralization through 
remote work and new siting decisions. Yet, the dominance of tech's 
long-standing hubs...",https://www.brookings.edu/research/superstars-rising-stars-and-the-rest-pandemic-trends-and-shifts-in-the-geography-of-tech/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
324,New York City crime wave continues into 2022 as city rolls out safety plan,CNN,"ar 5, 2022",,"Major crimes in New York City spiked nearly 60% in February compared to the 
same month in 2021 -- a large majority occurring in a small swath of the...",https://www.cnn.com/2022/03/05/us/new-york-city-crime-wave-2022/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
325,Rent prices keep rising—here are the 25 most expensive U.S. cities to rent a 1-bedroom apartment,CNBC,"Feb 28, 2022",2022-02-28 00:00:00.000000,"The prices for one-bedroom rentals in the U.S. have risen for the second 
straight month, for a new all-time median high of $1393, according to a new 
study.",https://www.cnbc.com/2022/02/28/the-25-most-expensive-us-cities-to-rent-a-1-bedroom-apartment.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
326,Biden Meets With Eric Adams in New York as U.S. Cities Grapple With Rising Crime,The Wall Street Journal,"Feb 3, 2022",2022-02-03 00:00:00.000000,"WASHINGTON—With murder rates in many U.S. cities rising, President Biden 
traveled to New York City on Thursday to highlight federal efforts to fight 
gun...",https://www.wsj.com/articles/biden-to-meet-eric-adams-in-new-york-as-u-s-cities-cope-with-rising-crime-11643897427,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
327,Rents soared in many U.S. cities last year — and may keep rising in 2022,CBS News,"Feb 2, 2022",2022-02-02 00:00:00.000000,"Americans can't seem to catch a break when looking for a place to live: The 
monthly rent in America's 50 largest cities rose an average of 14% in 
2021,...",https://www.cbsnews.com/news/rents-rose-14-percent-us-2021/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
328,Covid Updates: U.S. Watching Uptick in Cases Closely,The New York Times,2 weeks ago,2022-04-20 21:40:47.193738,"The new White House Covid czar, Dr. Ashish Jha, said that hospitalizations 
remained very low and that he was not overly concerned. The U.S. State 
Department...",https://www.nytimes.com/live/2022/04/11/world/covid-19-mandates-cases-vaccine,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
329,Philadelphia is first major U.S. city to restore indoor mask mandate as COVID cases rise,Fortune,3 weeks ago,2022-04-13 21:40:47.203857,"Confirmed COVID-19 cases have risen more than 50% in 10 days, the threshold 
at which the city's guidelines call for people to wear masks indoors.",https://fortune.com/2022/04/11/philadelphia-indoor-mask-mandate-covid-cases-rise/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
330,"Rapid City growth numbers rising, ranking it among several well-known US cities - KNBN NewsCenter1",NewsCenter1,1 month ago,2022-04-04 21:40:47.217267,"RAPID CITY, S.D. — According to the U.S. Census Bureau, Rapid City is the 
fastest growing metro area in the Midwest, and among the top 8 percent in 
the...",https://www.newscenter1.tv/rapid-city-growth-numbers-rising-ranking-it-among-several-well-known-u-s-cities/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
331,Miami rent is rising faster than in any other U.S. city,Time Out,1 month ago,2022-04-04 21:40:47.228047,"According to a recent report by Zumper, Miami is the U.S. city with the 
fastest rising rent prices—more than NYC or L.A..",https://www.timeout.com/miami/news/miami-rent-is-rising-faster-than-in-any-other-u-s-city-032522,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
332,The 10 U.S. Cities Where Rent Prices Are Rising Fastest,Money,1 month ago,2022-04-04 21:40:47.238790,"A new study from Realtor.com shows median rent is up 17% in U.S. cities, 
and Miami, Tampa and Orlando are seeing the biggest rent increases.",https://money.com/cities-where-rent-prices-rising-fastest/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
333,"Superstars, rising stars, and the rest: Pandemic trends and shifts in the geography of tech",Brookings,"ar 8, 2022",,"The pandemic years raised the promise of tech decentralization through 
remote work and new siting decisions. Yet, the dominance of tech's 
long-standing hubs...",https://www.brookings.edu/research/superstars-rising-stars-and-the-rest-pandemic-trends-and-shifts-in-the-geography-of-tech/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
334,New York City crime wave continues into 2022 as city rolls out safety plan,CNN,"ar 5, 2022",,"Major crimes in New York City spiked nearly 60% in February compared to the 
same month in 2021 -- a large majority occurring in a small swath of the...",https://www.cnn.com/2022/03/05/us/new-york-city-crime-wave-2022/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
335,Rent prices keep rising—here are the 25 most expensive U.S. cities to rent a 1-bedroom apartment,CNBC,"Feb 28, 2022",2022-02-28 00:00:00.000000,"The prices for one-bedroom rentals in the U.S. have risen for the second 
straight month, for a new all-time median high of $1393, according to a new 
study.",https://www.cnbc.com/2022/02/28/the-25-most-expensive-us-cities-to-rent-a-1-bedroom-apartment.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
336,Biden Meets With Eric Adams in New York as U.S. Cities Grapple With Rising Crime,The Wall Street Journal,"Feb 3, 2022",2022-02-03 00:00:00.000000,"WASHINGTON—With murder rates in many U.S. cities rising, President Biden 
traveled to New York City on Thursday to highlight federal efforts to fight 
gun...",https://www.wsj.com/articles/biden-to-meet-eric-adams-in-new-york-as-u-s-cities-cope-with-rising-crime-11643897427,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
337,Rents soared in many U.S. cities last year — and may keep rising in 2022,CBS News,"Feb 2, 2022",2022-02-02 00:00:00.000000,"Americans can't seem to catch a break when looking for a place to live: The 
monthly rent in America's 50 largest cities rose an average of 14% in 
2021,...",https://www.cbsnews.com/news/rents-rose-14-percent-us-2021/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
338,Covid Updates: U.S. Watching Uptick in Cases Closely,The New York Times,2 weeks ago,2022-04-20 21:40:49.313711,"The new White House Covid czar, Dr. Ashish Jha, said that hospitalizations 
remained very low and that he was not overly concerned. The U.S. State 
Department...",https://www.nytimes.com/live/2022/04/11/world/covid-19-mandates-cases-vaccine,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
339,Philadelphia is first major U.S. city to restore indoor mask mandate as COVID cases rise,Fortune,3 weeks ago,2022-04-13 21:40:49.322714,"Confirmed COVID-19 cases have risen more than 50% in 10 days, the threshold 
at which the city's guidelines call for people to wear masks indoors.",https://fortune.com/2022/04/11/philadelphia-indoor-mask-mandate-covid-cases-rise/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
340,"Rapid City growth numbers rising, ranking it among several well-known US cities - KNBN NewsCenter1",NewsCenter1,1 month ago,2022-04-04 21:40:49.333200,"RAPID CITY, S.D. — According to the U.S. Census Bureau, Rapid City is the 
fastest growing metro area in the Midwest, and among the top 8 percent in 
the...",https://www.newscenter1.tv/rapid-city-growth-numbers-rising-ranking-it-among-several-well-known-u-s-cities/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
341,Miami rent is rising faster than in any other U.S. city,Time Out,1 month ago,2022-04-04 21:40:49.342557,"According to a recent report by Zumper, Miami is the U.S. city with the 
fastest rising rent prices—more than NYC or L.A..",https://www.timeout.com/miami/news/miami-rent-is-rising-faster-than-in-any-other-u-s-city-032522,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
342,The 10 U.S. Cities Where Rent Prices Are Rising Fastest,Money,1 month ago,2022-04-04 21:40:49.353421,"A new study from Realtor.com shows median rent is up 17% in U.S. cities, 
and Miami, Tampa and Orlando are seeing the biggest rent increases.",https://money.com/cities-where-rent-prices-rising-fastest/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
343,"Superstars, rising stars, and the rest: Pandemic trends and shifts in the geography of tech",Brookings,"ar 8, 2022",,"The pandemic years raised the promise of tech decentralization through 
remote work and new siting decisions. Yet, the dominance of tech's 
long-standing hubs...",https://www.brookings.edu/research/superstars-rising-stars-and-the-rest-pandemic-trends-and-shifts-in-the-geography-of-tech/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
344,New York City crime wave continues into 2022 as city rolls out safety plan,CNN,"ar 5, 2022",,"Major crimes in New York City spiked nearly 60% in February compared to the 
same month in 2021 -- a large majority occurring in a small swath of the...",https://www.cnn.com/2022/03/05/us/new-york-city-crime-wave-2022/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
345,Rent prices keep rising—here are the 25 most expensive U.S. cities to rent a 1-bedroom apartment,CNBC,"Feb 28, 2022",2022-02-28 00:00:00.000000,"The prices for one-bedroom rentals in the U.S. have risen for the second 
straight month, for a new all-time median high of $1393, according to a new 
study.",https://www.cnbc.com/2022/02/28/the-25-most-expensive-us-cities-to-rent-a-1-bedroom-apartment.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
346,Biden Meets With Eric Adams in New York as U.S. Cities Grapple With Rising Crime,The Wall Street Journal,"Feb 3, 2022",2022-02-03 00:00:00.000000,"WASHINGTON—With murder rates in many U.S. cities rising, President Biden 
traveled to New York City on Thursday to highlight federal efforts to fight 
gun...",https://www.wsj.com/articles/biden-to-meet-eric-adams-in-new-york-as-u-s-cities-cope-with-rising-crime-11643897427,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
347,Rents soared in many U.S. cities last year — and may keep rising in 2022,CBS News,"Feb 2, 2022",2022-02-02 00:00:00.000000,"Americans can't seem to catch a break when looking for a place to live: The 
monthly rent in America's 50 largest cities rose an average of 14% in 
2021,...",https://www.cbsnews.com/news/rents-rose-14-percent-us-2021/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
348,Covid Updates: U.S. Watching Uptick in Cases Closely,The New York Times,2 weeks ago,2022-04-20 21:40:52.473275,"The new White House Covid czar, Dr. Ashish Jha, said that hospitalizations 
remained very low and that he was not overly concerned. The U.S. State 
Department...",https://www.nytimes.com/live/2022/04/11/world/covid-19-mandates-cases-vaccine,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
349,Philadelphia is first major U.S. city to restore indoor mask mandate as COVID cases rise,Fortune,3 weeks ago,2022-04-13 21:40:52.482209,"Confirmed COVID-19 cases have risen more than 50% in 10 days, the threshold 
at which the city's guidelines call for people to wear masks indoors.",https://fortune.com/2022/04/11/philadelphia-indoor-mask-mandate-covid-cases-rise/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
350,"Rapid City growth numbers rising, ranking it among several well-known US cities - KNBN NewsCenter1",NewsCenter1,1 month ago,2022-04-04 21:40:52.492399,"RAPID CITY, S.D. — According to the U.S. Census Bureau, Rapid City is the 
fastest growing metro area in the Midwest, and among the top 8 percent in 
the...",https://www.newscenter1.tv/rapid-city-growth-numbers-rising-ranking-it-among-several-well-known-u-s-cities/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
351,Miami rent is rising faster than in any other U.S. city,Time Out,1 month ago,2022-04-04 21:40:52.501949,"According to a recent report by Zumper, Miami is the U.S. city with the 
fastest rising rent prices—more than NYC or L.A..",https://www.timeout.com/miami/news/miami-rent-is-rising-faster-than-in-any-other-u-s-city-032522,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
352,The 10 U.S. Cities Where Rent Prices Are Rising Fastest,Money,1 month ago,2022-04-04 21:40:52.515013,"A new study from Realtor.com shows median rent is up 17% in U.S. cities, 
and Miami, Tampa and Orlando are seeing the biggest rent increases.",https://money.com/cities-where-rent-prices-rising-fastest/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
353,"Superstars, rising stars, and the rest: Pandemic trends and shifts in the geography of tech",Brookings,"ar 8, 2022",,"The pandemic years raised the promise of tech decentralization through 
remote work and new siting decisions. Yet, the dominance of tech's 
long-standing hubs...",https://www.brookings.edu/research/superstars-rising-stars-and-the-rest-pandemic-trends-and-shifts-in-the-geography-of-tech/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
354,New York City crime wave continues into 2022 as city rolls out safety plan,CNN,"ar 5, 2022",,"Major crimes in New York City spiked nearly 60% in February compared to the 
same month in 2021 -- a large majority occurring in a small swath of the...",https://www.cnn.com/2022/03/05/us/new-york-city-crime-wave-2022/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
355,Rent prices keep rising—here are the 25 most expensive U.S. cities to rent a 1-bedroom apartment,CNBC,"Feb 28, 2022",2022-02-28 00:00:00.000000,"The prices for one-bedroom rentals in the U.S. have risen for the second 
straight month, for a new all-time median high of $1393, according to a new 
study.",https://www.cnbc.com/2022/02/28/the-25-most-expensive-us-cities-to-rent-a-1-bedroom-apartment.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
356,Biden Meets With Eric Adams in New York as U.S. Cities Grapple With Rising Crime,The Wall Street Journal,"Feb 3, 2022",2022-02-03 00:00:00.000000,"WASHINGTON—With murder rates in many U.S. cities rising, President Biden 
traveled to New York City on Thursday to highlight federal efforts to fight 
gun...",https://www.wsj.com/articles/biden-to-meet-eric-adams-in-new-york-as-u-s-cities-cope-with-rising-crime-11643897427,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
357,Rents soared in many U.S. cities last year — and may keep rising in 2022,CBS News,"Feb 2, 2022",2022-02-02 00:00:00.000000,"Americans can't seem to catch a break when looking for a place to live: The 
monthly rent in America's 50 largest cities rose an average of 14% in 
2021,...",https://www.cbsnews.com/news/rents-rose-14-percent-us-2021/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
358,Covid Updates: U.S. Watching Uptick in Cases Closely,The New York Times,2 weeks ago,2022-04-20 21:40:55.164717,"The new White House Covid czar, Dr. Ashish Jha, said that hospitalizations 
remained very low and that he was not overly concerned. The U.S. State 
Department...",https://www.nytimes.com/live/2022/04/11/world/covid-19-mandates-cases-vaccine,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
